product_name,brands,nutrition_grade_fr,countries,sugars_100g,fiber_100g,salt_100g,saturated-fat_100g,energy-kcal_100g
Bio Knusper Müsli Früchte,Crownfield,c,Belgija,14.0,8.4,0.2,4.2,441.0
Céréales Miel Pops,Kellogg's,c,Belgium,22.0,4.6,0.4,0.1,384.0
Les fourrées cacao noisette,Funkie,c,France,21.0,4.2,0.03,2.0,423.0
"Muesli fibres - Son de blé, Figues, Pruneaux",Bjorg,a,France,9.0,15.0,0.02,0.9,344.0
Muesli au chocolat,Terres et Céréales,c,France,7.9,9.3,0.15,4.6,407.0
CORN FLAKES,CROWNFIELD,d,France,5.5,3.3,1.95,0.3,379.0
Muesli avoine amandes chocolat,TERRES ET CÉRÉALES,c,France,22.0,6.8,0.05,4.0,456.0
Granola chocolat noir - faible en sucre,Jordans,a,France,3.8,16.9,0.03,3.8,460.0
Special K Chocolat Noir,Special K,d,Belgique,17.0,6.0,0.64,3.2,424.633524537922
Céréales All Bran Kellogg's Fibre Plus,Kellogg's,c,Belgique,18.0,27.0,0.95,0.7,334.0
Trésor Chocolat au Lait,Kellogg's,e,Belgium,25.0,3.7,0.96,4.7,448.0
Rice Krispies,Kellogg's,c,Belgique,7.9,2.9,1.0,0.4,390.0
Céréales Extra Kellogg's Pépites Chocolat au lait,Kellogg's,e,Belgique,25.0,4.9,0.68,12.0,484.0
Corn Flakes 0% azúcares añadidos,Hacendado,c,Spain,0.9,4.4,1.0,0.4,383.333333333333
Muesli Bio Croustillant Amande Vanille,Charles Vignon,c,France,16.0,5.7,0.01,1.7,458.0
Coco Pops,Kellogg's,c,France,17.0,3.8,0.65,0.9,386.0
Croustillant graines de courge et de tournesol,Carrefour BIO,c,France,15.0,6.2,0.02,1.9,425.0
Flocons d'avoine,Marque repère,a,France,0.7,10.0,0.025,1.3,372.0
Muesli Crunchy,Crownfield,c,France,16.0,9.8,0.00013,3.0,445.0
Coco pops,Kellogg's,c,France,17.0,3.8,0.65,0.9,386.0
Petits flocons d'avoine complète,Carrefour BIO,a,France,1.0,8.7,0.0,1.3,373.0
Kelloggs corn flakes the original,Kellogg's,d,Greece,8.0,3.0,1.1,0.2,383.205863607393
Granola baja en azúcares,Hacendado,a,Spain,4.7,8.5,0.02,3.5,477.0
Flocons d'avoine 4 graines et raisins,Bjorg,a,France,8.6,11.0,0.03,1.8,394.0
Muesli 4 Noix,Marque Repère,c,France,16.0,8.5,0.15,2.4,463.0
Céréales oh my crips fruit,JORDANS,b,en:fr,9.8,18.0,0.05,3.5,427.0
Flocons d'avoine complète 500g,Chabrior,a,Belgium,1.1,10.0,0.05,1.2,369.0
Céréales complètes au chocolat noir intense,Bjorg,c,en:fr,17.0,9.1,0.17,6.6,460.0
Cruesli miel et noisettes,Cruesli,b,Belgique,15.0,9.4,0.06,1.8,460.0
Crousti fondant choco-noisettes,Nestlé,c,France,17.5,6.2,0.22,2.4,452.0
Weetabix,Weetabix,a,France,4.0,9.5,0.24375,0.6,136.0
Muesli croustillant chocolat 500 g,T&C terres & céréales Bio,c,France,9.6,3.9,0.03,2.2,437.0
Copos de trigo espelta integral 0%,Hacendado,a,Portugal,1.9,8.8,0.78,0.2,364.0
"Muesli 35 fruits, noix et graines",Carrefour BIO,b,France,17.0,8.9,0.02,2.8,380.0
Flocons d'avoine,Carrefour BIO,a,Belgium,0.7,10.0,0.01,1.3,372.0
Avena Crunchy Cacao,Hacendado,a,Portugal,9.0,11.0,0.18,1.6,393.0
Muesli croustillant 3 noix,Bio Village,b,France,17.0,7.6,0.01,1.8,446.0
Nestle fitness protein cocoa 0% added sugar,Fitness,a,Belgium,0.8,12.4,0.89,1.4,351.0
Flocons d’avoine,U,a,France,1.2,11.0,0.01,0.6,364.0
Céréales Granola Noix & Graines 350G,U,a,France,13.0,7.7,0.01,2.0,454.0
Coco Pop’s Chocos,Kellogg's,c,France,22.0,6.0,0.00166666666666667,1.0,380.0
Muesli 4 nuts,Crownfield,c,Belgium,18.1,8.1,0.08,4.9,454.0
Céréales Special K Kellogg's Nature,Kellogg's,c,France,15.0,4.5,1.0,0.3,393.333333333333
Quaker Cruesli Chocolat noisette,Cruesli,c,France,16.0,10.0,0.0,2.5,446.0
Croustillant Nature,Carrefour BIO,b,France,16.0,8.1,0.01,1.4,447.0
kelloggs corn flakes,Kelloggs,d,Ireland,8.0,3.0,1.1,0.2,378.0
Cereal mix 0% azúcares añadidos,Hacendado,c,France,17.1,5.6,0.0,0.7,372.0
Muesli 50% frutas y frutos secos,Hacendado,c,France,26.0,7.8,0.11,5.1,367.0
Smacks,Kellogg's,d,Bélgica,34.0,5.0,0.02,0.3,377.0
Céréales Frosties,Kellogg's,d,France,37.0,2.0,0.83,0.1,375.0
Muesli crisp 4 noix,Chabrior,c,Belgium,18.0,7.4,0.03,2.8,474.8
Copos de trigo integral y arroz 0% azúcares añadidos,Hacendado,a,Portugal,0.666666666666667,4.66666666666667,0.6,0.166666666666667,373.0
Croustillant tout chocolat,Carrefour BIO,d,Francia,20.0,8.4,0.02,6.1,447.0
Le Granola Chocolat,funkie,c,France,18.0,8.4,0.06,2.1,405.0
Frosties,Kellogg's,d,France,37.0,2.0,0.83,0.1,375.0
Céréales Trésor Kellogg's Chocolat Noisettes - 1kg,Kellogg's,e,Belgique,26.0,3.5,1.1,3.5,456.666666666667
Granola Super Nutty,Bio&Me,a,United Kingdom,9.6,14.4,0.03,2.2,402.0
Muesli avoine chocolat,Bjorg,c,France,9.1,9.5,0.08,4.2,399.0
Céréales cœur fondant,Carrefour BIO,d,Belgique,29.0,7.2,0.38,2.7,419.0
Flocons d'Avoine,Bio Village,a,France,0.7,10.0,0.02,1.3,372.0
simply nutty muesli,dorset cereals,a,United Kingdom,14.2,8.6,0.03,1.1,376.0
Muesli Crunchy chocolat noir et noisettes grillées,Crownfield,d,France,21.4,6.9,0.62,4.3,471.0
KitKat Cereal,Nestlé,c,Austria,24.9,6.5,0.37,2.0,420.0
Special k,SPECIAL K,c,Belgium,16.0,6.6,0.73,0.3,390.0
Crousti' Avoine Nature,Bjorg,a,France,13.0,9.4,0.1,2.1,417.0
Muesli bio noix & graines,Jordans,a,France,6.3,8.7,0.03,2.3,427.0
