product_name,brands,nutrition_grade_fr,countries,sugars_100g,fiber_100g,salt_100g,saturated-fat_100g,energy-kcal_100g
Nutty Granola,deliciously ella,c,Ireland,16.0,8.2,0.22,2.6,462.222222222222
Müesli crunchy,Crownfield,d,France,26.9,6.4,0.33,4.9,459.0
Rice Krispies,Kellogg's,c,United Kingdom,8.0,3.0,0.9825,0.333333333333333,338.591459528361
LOW SUGAR GRANOLA Nuts & Seeds,Lizi's,a,en:United Kingdom,3.4,8.0,0.02,3.6,469.816989893471
All-Bran Fibre Plus,Kellogg's,c,en:france,15.0,26.0,0.9,0.5,312.5
Pétales de blé complet et riz nature 300g,U,c,,9.1,6.0,0.81,1.3,377.0
Crok fondant tout choco,Terres et Céréales,d,,25.0,7.2,0.72,2.7,402.0
Flocons 5 céréales,Terres & Céréales,a,,1.3,11.0,0.01,0.6,348.0
Crunchy Nut & Almond,Santé,d,,22.0,4.57142857142857,0.000142857142857143,4.28571428571429,468.571428571429
grape-nuts cereal,Post,c,,8.62,12.07,1.1638,0.0,344.82
Forme & Fruits rouges,Brüggen,c,,16.0,5.1,0.66,0.4,384.1
Muesli crisp chocolat noir,Chabrior,c,,17.3,11.4,0.27,5.0,410.0
Croc choc,Lucien Georgelin,e,,35.0,4.8,0.44,5.7,446.0
Yaourt cereal,Danone,e,,9.0,0.0,0.0,2.0,95.0
Granula baies de goji,Grainéa,a,,13.0,8.5,0.03,1.9,440.0
Bamboo crunchy chocolate,Bamboo,b,,9.8,8.0,0.2,3.7,454.0
premium müsli,Crownfield (Lidl),c,,25.1,8.7,0.07,2.3,382.0
NESTLE CHEERIOS Céréales 375g,Nestlé,c,,22.2,9.1,0.63,0.7,377.0
Corn flakes nature,Grillon d'Or,b,,0.5,3.2,0.01,0.1,387.0
Country crisp Framboises entières,Jordans,c,,20.0,6.2,0.03,1.8,433.0
Funky Veggie - Les POP,Funky Veggie,c,,19.0,2.1,0.01,0.8,383.0
Muesli croustillant avoine myrtilles chia,Terres et Céréales,c,,22.0,7.7,0.04,1.7,443.0
Stylesse Fruits rouges,Carrefour,c,,17.0,7.0,0.76,0.3,371.0
Crunchy Oat Granola Raisin & Almond,Jordans,c,,21.0,6.2,0.03,1.5,417.777777777778
Céréales Trésor Kellogg's Chocolat Noisettes,Kellogg's,e,,26.0,3.6,0.94,4.5,456.0
MATIN multicereales sin azucar,Gerblé,a,,1.3,7.3,0.8,0.7,362.0
Multigrain Cheerios,Nestlé,c,,17.6666666666667,9.66666666666667,0.783333333333333,1.0,376.666666666667
Traube- Nuss Müsli,Crownfield,a,,11.2,10.8,0.07,2.7,375.0
Muesli Croccante,Crownfield,a,,,,,,
Céréales Muesli croustillant aux fruits rouges doypack de 500g,U,c,,18.0,8.9,0.15,2.6,436.0
Simply Granola with a hint of honey,Jordans,c,,17.0,6.3,0.03,1.5,417.777777777778
Chocolune,Grillon d'Or,c,,20.0,7.8,0.4,1.8,374.0
Crunchy 3 chocolates,Carrefour,c,,21.0,8.2,0.13,4.2,452.0
Corn flakes BIO,Brüggen,c,,5.2,3.3,0.83,0.2,382.0
Muesli croustillant Amande vanille,Favrichon,d,,16.0,5.7,1.0,1.7,455.0
Muesli bio céréales toastées 5 noix,Charles Vignon,a,,1.6,13.0,0.01,4.8,433.0
Granola Miele,Nestlé,c,,17.9,7.1,0.2175,1.7,428.888888888889
Muesli avoine chocolat,Carrefour BIOCarrefour,a,,8.0,8.9,0.03,2.8,376.0
Flocons d'Avoine,Auchan,a,,1.0,10.0,0.01,1.2,369.0
Corn Flakes,Brüggen,c,,7.6,3.4,0.9,0.2,385.0
Muesli croustillant tradition,Terres et Céréales BIO,c,,20.0,6.5,0.05,1.7,440.0
Choco Bollz,Carrefour,c,,22.0,7.5,0.42,1.0,380.0
Muesli floconneux fruits secs Raisins figues abricots graines,Bio Village,a,,11.0,7.7,0.01,1.4,382.0
Cuor di cereale,Gullon,d,,25.0,9.0,0.4225,3.8,454.545454545455
NESTLE FITNESS Chocolat Noir Céréales 450g,Nestlé,c,,15.1,8.9,0.45,4.1,395.0
Chocolate con Leche,Nestlé,c,,17.5,9.1,0.49,4.0,396.0
Céréales croc'choc,Lucien Georgelin,d,,32.0,4.5,0.36,5.0,440.0
Trésor Chocolat au lait,Kellogg&#039;s,e,,28.0,3.1,0.95,4.0,441.0
Muesli croustillant Chocolat & Quinoa,Bio Village,d,,22.0,7.2,0.05,5.3,433.0
Muesli Noix,SIMPLEMENT BON ET BIO,unknown,,17.0,9.5,0.3925,,438.0
Simply Crunchy Honey Baked Granola,Jordans,c,,17.3,6.3,0.03,1.5,430.0
Special K The Original,Special K,c,,15.0,6.0,0.825,0.3,393.333333333333
FITNESS Cerealien,,a,,8.8,10.7,0.56,0.6,366.0
Granola Crunchy Honing - Miel,Carrefour,c,,18.0,6.6,0.28,3.0,436.0
Muesli bio chocolat noir,Jordans BIO,b,,9.0,8.9,0.03,3.1,397.777777777778
Gold corn flakes miel,,d,,29.9,4.6,0.84,0.3,378.0
Simply Delicious Muesli,Dorset Cereals,b,,14.7,9.0,0.03,1.1,368.0
Fitness Original,Nestlé,a,,8.8,10.7,0.56,0.6,366.666666666667
Muesli 5 céréales nature,Carrefour BIO,a,,1.0,12.0,0.01,0.6,347.0
Stylesse Nature,Carrefour,c,,13.0,5.3,0.79,0.2,379.0
Corn Flakes,Tesco,c,,5.5,3.5,0.59,0.3,384.0
Céréales Muesli canneberges baies de goji dattes abricots 375g,U,a,,13.0,11.0,0.05,0.9,348.0
Lidl zobene,Crownfield,a,,0.7,8.5,0.0,1.0,372.0
Le Croustillant Chocolat noir & Noisettes,Bjorg,c,,16.0,8.0,0.01,4.1,445.0
Granola Triple Nut,Jordan’s,b,,9.5,18.0,0.03,3.7,440.0
Choco Krispies,Kellogg's,c,,17.0,3.8,0.64,0.9,391.01338
Gros Flocons d’Avoine,Bjorg,a,,1.1,10.0,0.02,1.3,375.0
Muesli Fruits,Grillon d'Or,a,,15.0,11.0,0.01,1.2,354.0
"NESTLE LION Céréales 1,05 kg",Nestlé,c,,24.5,7.0,0.4,1.1,406.0
Cereales de chocolate y avellana,Hacendado,e,,38.0,5.2,0.7875,2.5,429.0
Muesli Swiss Style,Harvest Morn,a,,12.4444444444444,16.0,0.0222222222222222,0.888888888888889,362.222222222222
Granola nuts & cocoa,Sante Fit,c,,17.0,3.0,0.025,1.9,419.0
Premium Fruit & Nut Muesli,Lidl,c,,24.6,6.4,0.04,4.6,394.0
PORAGE OATS ORIGINAL TRADITIONAL SMOOTH CUT,Scott's,a,,,,,,
Pétales au chocolat blé complet,Carrefour BIO,c,,25.0,7.6,0.22,1.6,379.0
Muesli floconneux morceaux de fruits,Antartic II,b,,12.9,9.1,0.08,3.1,378.0
Riz complet soufflé,Grillon d'Or,b,,0.6,2.2,0.03,0.6,376.0
Flocons d'avoine sans gluten,Terres Et Cereales,a,,1.2,10.0,0.01,1.4,364.0
Tresor,Kellogg's,e,,28.0,3.1,0.95,4.0,440.0
"low sugar granola whole grain oats, almonds & seeds",EAT NATURAL,d,,4.4,12.8,0.05,9.2,496.0
Minis leche,Hacendado,e,,35.0,3.5,0.82,5.9,439.0
malted wheaties,Harvest Morn,a,,10.9,13.3,0.27,0.2,370.0
Flocons d'avoine,Crownfield,a,,0.8,9.7,0.01,1.3,371.0
Cruesli 4 Nuts,Quaker,b,,12.0,10.0,0.01,2.0,462.222222222222
Muesli croustillant quinoa chocolat,Auchan,d,,22.0,7.2,0.06,5.3,437.0
Special K Classic,Special K,c,,15.0,6.0,0.84,0.3,392.0
Special K Classic,Kellogg's,c,,15.0,6.0,0.84,0.3,392.0
Flocons d'avoine,Aldi,a,,0.7,10.0,0.02,1.3,375.0
NESTLE FITNESS Honey Flavour Fiber Cerealien,Fitness,a,,1.5,17.8,0.63,1.0,350.0
Toasted Whole Grain Oat Cereal,Cheerios,c,,5.12820512820513,10.2564102564103,1.21794871794872,1.28205128205128,358.974358974359
Céréales croustillantes Chocolat & châtaigne,J FAVRICHON,d,,23.0,3.6,0.01,2.9,458.0
Pétales de blé complet et riz,Carrefour BIO,c,,16.0,6.0,1.0,0.2,372.0
Chocapic,Nestlé,c,,22.4,7.5,0.22,2.0,383.333333333333
Flocons d’avoine,,a,,1.3,10.0,0.325,1.3,372.0
Croustillant avoine chocolat,Carrefour BIO,unknown,,15.0,11.0,,5.4,450.0
Müsli Multifrucht,Crownfield,b,,20.0,9.4,0.06,1.8,348.0
Céréales Muesli croustillant au chocolat au lait 500g,U,d,,24.0,6.4,0.49,4.8,460.0
Weetabix Oatiflakes,Weetabix,b,,14.0,8.0,0.258333333333333,1.4,405.0
Muesli crunchy,Muesli Crunchy,e,,24.0,6.5,8.4,4.8,441.0
Bran Flakes,Harvest Morn,a,,11.0,16.0,0.28,0.5,360.0
Muesli croustillant 3 chocolats,U,d,,24.0,7.6,0.28,4.8,453.0
Céréales Muesli croustillant aux fruits secs paquet 500g,U,d,,25.0,7.5,0.13,5.5,439.0
Ka'ré chocolat noisette,Grillon d'Or,d,,28.0,6.4,0.63,2.4,423.0
Crunchy Chocolat au lait & Noisettes,Carrefour,c,,19.0,8.2,0.13,3.6,448.0
Weetabix,Weetabix,a,,4.4,10.0,0.275,0.6,392.0
Cocoa Alpha Bites,BEAR,a,,12.0,6.7,0.1,0.8,385.0
Chocolate Granola,Nestlé,c,,17.7,7.6,0.1875,2.9,492.351816443594
KARÉ NOISETTE,Grillon d'Or,c,,17.0,9.3,0.12,2.2,437.0
Wheat Biscuits,Tesco,a,,4.47368421052632,10.0,0.256578947368421,0.526315789473684,357.894736842105
High Protein Granola Cranberry & Almond,Crownfield,d,,18.3,5.9,0.48,2.7,434.990439770554
TREK PROTEIN AVOINE - Biscoff (3x1p),TREK,not-applicable,,23.0,7.0,0.73,7.9,468.0
Muesli aux fruits,Kelly's,c,,16.3,8.6,0.02,3.7,366.0
Sante Tropical Muesli Whole Grain Oat 350G,Santé,c,,15.0,,0.18,0.4,356.0
Mix cereales 0% azúcares añadidos,Esgir,a,,1.79,7.13,0.336,0.63,374.0
Muesli Croustillant Noisettes,Terres et Céréales Bio,a,,16.0,9.0,0.05,1.4,422.0
Cheerios,General Mills,c,,5.12820512820513,10.2564102564103,1.21794871794872,1.28205128205128,358.974358974359
High Protein Crunchy Musli,Crownfield,d,,14.2,4.5,0.225,3.2,446.0
Heritage Flakes,Nature's Path Organic,c,,12.5,17.5,1.0625,0.0,400.0
bitesize wheat shreds,Crownfield,a,,0.7,12.5,0.04,0.5,367.0
Granola amande & miel,ALINE & OLIVIER,b,,13.0,8.9,0.16,2.5,447.5
All-Bran Original,Kellogg's,c,,18.0,27.0,0.95,0.7,333.5
Organic Porridge Oats,Flahavan's,a,,,,,,
Flocons d'avoine - Source de fibres,QUAKER,a,,1.1,9.0,0.01,1.5,375.0
Chocolat noir et amandes caramélisées Monoprix Bio,Monoprix,c,,13.0,7.8,0.06,3.1,455.0
Krounchy Muesli croustillant,d'Or,a,,16.0,9.0,0.05,1.3999999761581,421.0
Surperfruits,Favrichon,unknown,,21.0,6.2,,1.3,432.0
Mix choco con cereales integrales,esgir,a,,1.3,4.9,0.084,0.2,383.0
"Muesli Énergie (cacao, banane, guarana)",Bjorg,a,,4.5,9.6,0.06,1.3,362.0
Cornflakes,Kellogg's,d,,8.0,3.0,1.0825,0.2,378.0
Choco Shells,Crownfield,c,,22.4,8.3,0.29,1.1,377.0
Krounchy chataigne,Grillon d'Or,c,,21.0,6.5,0.04,1.9,466.0
Tesco No Added Sugar or Salt Swiss Style Muesli,Tesco,a,,13.3,8.5,0.03,0.8,362.0
NESTLE LION WILD Céréales 600g,Nestlé,d,,24.9,4.6,0.85,2.1,433.0
Céréales chocolat cœur aux noisettes,Carrefour BIO,d,,28.0,10.0,0.33,2.7,426.0
Balaji Wafers Sev Murmura,Balaji Wafers,e,,0.0,5.0,2.02,11.0,507.0
Barres de céréales chocolat noir,Crownfield,d,,23.2,5.8,0.19,5.8,412.0
Scottish Porridge Oats,Crownfield,a,,0.8,6.7,7.5e-05,1.5,385.0
Raisin and Almond Granola,Crownfield,c,,,,,,425.0
Flocons d'Avoines,Golden Bridge,a,,0.7,10.0,0.02,1.0,375.0
NESTLE COOKIE CRISP Céréales 625g,Nestlé,c,,22.4,6.0,0.66,0.9,393.0
CHEERIOS BIO Céréale 375g,Nestlé,c,,18.0,9.9,0.65,0.9,388.0
nut granola Blueberry Cinnamon,nutrail,c,,6.66666666666667,23.3333333333333,0.208333333333333,16.6666666666667,533.333333333333
Swiss style museli,Brownfield,a,,14.0,6.66666666666667,0.0222222222222222,0.888888888888889,366.666666666667
Les bouchées cacahuètes pépites de chocolat,Bjorg,d,,30.0,6.3,0.22,4.7,437.0
Multigrain Hoops,Crownfield,c,,17.1,8.0,0.7,0.4,376.0
Oz Miel,Crosti,c,,20.0,4.9,0.3,0.5,381.0
Muesli CroustillantNoix,Auchan,c,,18.0,5.9,0.03,1.9,453.0
Mon granola bio chocolat,A&O,c,,11.0,8.9,0.02,3.7,436.0
Grainéa Muesli 5 Fruits,Marque Repère,d,,25.0,6.5,0.13,6.9,437.0
Original,Quaker Oats So Simple,a,,1.11111111111111,8.88888888888889,0.0,1.11111111111111,370.0
Aros avena crujientes,Ceridés,a,,4.0,10.6666666666667,0.01,1.33333333333333,390.0
Pop & crisp,Jordans,c,,20.0,12.0,0.01,1.6,414.0
Quaker Muesli Croustillant Myrtilles & baies de goji,Muesli Croustillant,b,,14.0,14.0,0.26,1.2,402.0
Flakes d'épeautre,Terres et cereales,a,,2.9,11.0,0.09,0.3,376.0
Stylesse Chocolat Noir,Carrefour,d,,18.0,5.6,0.69,2.6,397.0
Extra original,Kellogg's eXtra,d,,19.0,6.7,0.85,8.1,480.0
Rice Snaps,Tesco,c,,5.0,1.66666666666667,0.658333333333333,0.333333333333333,386.666666666667
Mops chocolat,Grillon d'Or,c,,20.0,3.9,0.02,1.2,364.0
Protein Crunch Granola,HOLIE'S,a,,2.0,15.0,0.0,2.9,447.0
Céréales Pétales de riz & blé orge 500g,U,c,,15.0,5.2,0.88,0.5,390.0
Spécial Flakes,Golden Bridge,b,,12.0,6.5,0.5,0.4,372.0
